Ad ID,Category,Price,Currency,Price per m2,Floor Number,Room Count,Area,Location,Excerpt,Last Updated,State of Repair,Link
5134581,Yeni tikili,447 000,AZN,3 320 AZN/m²,9 / 10,4,134.5 m²,28 May m.,var,"13.06.2025, 14:33",var,https://bina.az/items/5134581
5230825,Yeni tikili,355 000,AZN,2 540 AZN/m²,3 / 19,4,140 m²,Xətai r.,var,"13.06.2025, 14:33",var,https://bina.az/items/5230825
5276840,Köhnə tikili,95 000,AZN,2 260 AZN/m²,5 / 9,1,42 m²,İnşaatçılar m.,var,"13.06.2025, 14:33",var,https://bina.az/items/5276840
4076305,Yeni tikili,141 905,AZN,2 810 AZN/m²,10 / 16,1,50.5 m²,8 Noyabr m.,yoxdur,"13.06.2025, 14:33",yoxdur,https://bina.az/items/4076305
5167369,Köhnə tikili,208 000,AZN,2 310 AZN/m²,3 / 5,4,90 m²,Nəriman Nərimanov m.,var,"13.06.2025, 14:32",var,https://bina.az/items/5167369
5055910,Yeni tikili,330 000,AZN,3 140 AZN/m²,3 / 17,3,105 m²,Nəsimi r.,yoxdur,"13.06.2025, 14:32",var,https://bina.az/items/5055910
3916315,Yeni tikili,238 431,AZN,2 670 AZN/m²,7 / 16,2,89.3 m²,8 Noyabr m.,yoxdur,"13.06.2025, 14:32",yoxdur,https://bina.az/items/3916315
5182934,Yeni tikili,350 000,AZN,2 330 AZN/m²,11 / 16,4,150 m²,İnşaatçılar m.,var,"13.06.2025, 14:32",var,https://bina.az/items/5182934
4170452,Yeni tikili,140 390,AZN,2 780 AZN/m²,9 / 16,1,50.5 m²,8 Noyabr m.,yoxdur,"13.06.2025, 14:32",yoxdur,https://bina.az/items/4170452
3916248,Yeni tikili,244 881,AZN,2 730 AZN/m²,9 / 16,2,89.7 m²,8 Noyabr m.,yoxdur,"13.06.2025, 14:32",yoxdur,https://bina.az/items/3916248
5253651,Köhnə tikili,145 000,AZN,2 900 AZN/m²,8 / 10,2,50 m²,Xalqlar Dostluğu m.,var,"13.06.2025, 14:32",var,https://bina.az/items/5253651
4090316,Yeni tikili,455 930,AZN,2 540 AZN/m²,6 / 16,4,179.5 m²,8 Noyabr m.,yoxdur,"13.06.2025, 14:32",yoxdur,https://bina.az/items/4090316
4114907,Yeni tikili,371 800,AZN,2 860 AZN/m²,15 / 16,3,130 m²,8 Noyabr m.,yoxdur,"13.06.2025, 14:32",yoxdur,https://bina.az/items/4114907
5093682,Yeni tikili,180 000,AZN,2 590 AZN/m²,14 / 17,2,69.5 m²,Qara Qarayev m.,yoxdur,"13.06.2025, 14:32",var,https://bina.az/items/5093682
5199495,Yeni tikili,193 000,AZN,1 600 AZN/m²,16 / 18,3,121 m²,Xalqlar Dostluğu m.,var,"13.06.2025, 14:32",yoxdur,https://bina.az/items/5199495
5243472,Köhnə tikili,123 000,AZN,1 980 AZN/m²,3 / 9,2,62 m²,Əhmədli q.,var,"13.06.2025, 14:32",var,https://bina.az/items/5243472
5243304,Yeni tikili,150 000,AZN,2 210 AZN/m²,1 / 3,2,68 m²,Həzi Aslanov m.,var,"13.06.2025, 14:32",var,https://bina.az/items/5243304
5252077,Köhnə tikili,230 000,AZN,3 430 AZN/m²,2 / 6,3,67 m²,Nəriman Nərimanov m.,var,"14.06.2025, 01:39",var,https://bina.az/items/5252077
5276839,Yeni tikili,264 500,AZN,2 400 AZN/m²,2 / 17,3,110 m²,Qara Qarayev m.,var,"13.06.2025, 14:31",var,https://bina.az/items/5276839
5198512,Yeni tikili,298 000,AZN,2 710 AZN/m²,11 / 12,3,110 m²,Nəriman Nərimanov m.,var,"13.06.2025, 14:31",var,https://bina.az/items/5198512
5164401,Yeni tikili,195 000,AZN,2 790 AZN/m²,19 / 19,2,70 m²,8-ci mikrorayon q.,yoxdur,"13.06.2025, 14:31",var,https://bina.az/items/5164401
5184448,Yeni tikili,265 000,AZN,2 790 AZN/m²,10 / 14,3,95 m²,İnşaatçılar m.,yoxdur,"13.06.2025, 14:31",yoxdur,https://bina.az/items/5184448
5223469,Köhnə tikili,117 000,AZN,3 660 AZN/m²,2 / 5,1,32 m²,Elmlər Akademiyası m.,var,"13.06.2025, 14:32",var,https://bina.az/items/5223469
5276835,Yeni tikili,138 000,AZN,2 260 AZN/m²,14 / 16,3,61 m²,İnşaatçılar m.,var,"13.06.2025, 14:31",var,https://bina.az/items/5276835
